question,vector_distances,vector_scores,bm25_scores
What is software engineering and how does it fit into computer science?,"[0.28095781803131104, 0.30492931604385376, 0.3467431664466858, 0.35098838806152344, 0.3512643575668335, 0.4119942784309387, 0.4136471152305603, 0.4147685766220093, 0.4228935241699219, 0.42702317237854004, 0.42922818660736084, 0.44144517183303833, 0.4471954107284546, 0.4475014805793762, 0.45094162225723267, 0.45132505893707275, 0.4548488259315491, 0.4552369713783264, 0.4561946988105774, 0.45896434783935547, 0.4608142375946045, 0.46311134099960327, 0.4636855125427246, 0.46698296070098877, 0.467190682888031, 0.46724849939346313, 0.47088623046875, 0.4726158380508423, 0.4742732048034668, 0.47559839487075806]","[0.719042181968689, 0.6950706839561462, 0.6532568335533142, 0.6490116119384766, 0.6487356424331665, 0.5880057215690613, 0.5863528847694397, 0.5852314233779907, 0.5771064758300781, 0.57297682762146, 0.5707718133926392, 0.5585548281669617, 0.5528045892715454, 0.5524985194206238, 0.5490583777427673, 0.5486749410629272, 0.5451511740684509, 0.5447630286216736, 0.5438053011894226, 0.5410356521606445, 0.5391857624053955, 0.5368886590003967, 0.5363144874572754, 0.5330170392990112, 0.532809317111969, 0.5327515006065369, 0.52911376953125, 0.5273841619491577, 0.5257267951965332, 0.5244016051292419]","[27.748884, 21.593737, 16.509266, 16.14459, 15.329397, 15.204704, 14.904602, 14.862862, 14.49301, 13.588873, 13.197435, 12.746899, 12.575737, 12.569824, 12.443735, 12.098673, 11.823234, 11.724162, 11.716057, 11.415586, 11.251202, 11.10563, 11.023377, 10.976223, 10.946939, 10.866486, 10.859362, 10.840817, 10.648442, 10.410469]"
What is the difference between technical and business quality? Explain why each is important.,"[0.33366966247558594, 0.422413170337677, 0.4615035057067871, 0.4671006202697754, 0.47021937370300293, 0.4879269003868103, 0.4934600591659546, 0.5050119161605835, 0.5125192999839783, 0.5242537260055542, 0.5262718200683594, 0.5272358059883118, 0.5289762020111084, 0.5338249206542969, 0.5352767705917358, 0.536620020866394, 0.547493577003479, 0.5495214462280273, 0.5533341765403748, 0.554497241973877, 0.5562871694564819, 0.5599309206008911, 0.5698064565658569, 0.5710373520851135, 0.57398921251297, 0.5767330527305603, 0.5892108678817749, 0.5909731388092041, 0.5911132097244263, 0.5950025320053101]","[0.6663303375244141, 0.577586829662323, 0.5384964942932129, 0.5328993797302246, 0.5297806262969971, 0.5120730996131897, 0.5065399408340454, 0.4949880838394165, 0.48748070001602173, 0.4757462739944458, 0.4737281799316406, 0.47276419401168823, 0.4710237979888916, 0.4661750793457031, 0.46472322940826416, 0.46337997913360596, 0.452506422996521, 0.45047855377197266, 0.44666582345962524, 0.44550275802612305, 0.44371283054351807, 0.4400690793991089, 0.43019354343414307, 0.4289626479148865, 0.42601078748703003, 0.4232669472694397, 0.4107891321182251, 0.4090268611907959, 0.40888679027557373, 0.40499746799468994]","[19.328243, 18.804838, 15.137917, 14.278685, 13.712026, 13.410171, 12.914123, 12.904844, 12.531042, 12.25803, 12.238323, 12.198315, 11.990757, 11.916535, 11.902482, 11.897008, 11.895943, 11.86407, 11.66218, 11.629508, 11.58252, 11.435804, 11.303002, 11.218365, 11.163555, 11.114717, 11.01827, 11.013811, 10.952069, 10.950504]"
"Describe three software development life - cycle models. For each, name the main activities performed, and the inputs and outputs of each activity. For each give an example of the kind of software development project where the life - cycle model would be well - suited, and an example of where the life - cycle model would be inappropriate; explain why.","[0.32202404737472534, 0.36746710538864136, 0.37076473236083984, 0.37531858682632446, 0.382693886756897, 0.38373005390167236, 0.3845781683921814, 0.39085549116134644, 0.3921031355857849, 0.39381343126296997, 0.4082384705543518, 0.41331034898757935, 0.41606736183166504, 0.41610872745513916, 0.41876494884490967, 0.42118215560913086, 0.42186439037323, 0.4228881001472473, 0.42392194271087646, 0.4307524561882019, 0.43462640047073364, 0.43631088733673096, 0.44423842430114746, 0.44446122646331787, 0.44572192430496216, 0.44785749912261963, 0.4487876296043396, 0.4573485851287842, 0.4580298662185669, 0.4585719108581543]","[0.6779759526252747, 0.6325328946113586, 0.6292352676391602, 0.6246814131736755, 0.617306113243103, 0.6162699460983276, 0.6154218316078186, 0.6091445088386536, 0.6078968644142151, 0.60618656873703, 0.5917615294456482, 0.5866896510124207, 0.583932638168335, 0.5838912725448608, 0.5812350511550903, 0.5788178443908691, 0.57813560962677, 0.5771118998527527, 0.5760780572891235, 0.5692475438117981, 0.5653735995292664, 0.563689112663269, 0.5557615756988525, 0.5555387735366821, 0.5542780756950378, 0.5521425008773804, 0.5512123703956604, 0.5426514148712158, 0.5419701337814331, 0.5414280891418457]","[32.07989, 28.915718, 28.363586, 27.691282, 27.335, 26.894217, 26.314852, 26.075174, 24.41818, 24.377235, 24.359106, 24.212482, 24.174826, 24.03259, 24.024769, 23.745697, 23.689209, 23.682049, 23.330805, 23.022404, 23.019566, 22.935215, 22.797949, 21.655684, 21.567955, 21.430676, 21.273254, 21.066452, 20.927073, 20.817526]"
What is the difference between static and dynamic modeling? Explain how each type of modeling is useful.,"[0.45934760570526123, 0.46361005306243896, 0.46959054470062256, 0.47089654207229614, 0.5373764634132385, 0.5424102544784546, 0.5456475019454956, 0.5462425351142883, 0.5549832582473755, 0.5622653365135193, 0.5623713731765747, 0.5679899454116821, 0.5681707859039307, 0.5698394775390625, 0.573972761631012, 0.5758947134017944, 0.5817834138870239, 0.5831632614135742, 0.583551824092865, 0.5939939022064209, 0.597395122051239, 0.6053799390792847, 0.6091161370277405, 0.6097156405448914, 0.6121748685836792, 0.6142076253890991, 0.6159595847129822, 0.6200287342071533, 0.6203725337982178, 0.6229943633079529]","[0.5406523942947388, 0.536389946937561, 0.5304094552993774, 0.5291034579277039, 0.4626235365867615, 0.4575897455215454, 0.4543524980545044, 0.45375746488571167, 0.4450167417526245, 0.4377346634864807, 0.4376286268234253, 0.43201005458831787, 0.43182921409606934, 0.4301605224609375, 0.42602723836898804, 0.42410528659820557, 0.4182165861129761, 0.4168367385864258, 0.416448175907135, 0.4060060977935791, 0.402604877948761, 0.39462006092071533, 0.3908838629722595, 0.39028435945510864, 0.3878251314163208, 0.3857923746109009, 0.3840404152870178, 0.3799712657928467, 0.3796274662017822, 0.3770056366920471]","[20.373283, 15.437071, 14.5143795, 14.313071, 14.124376, 14.108313, 13.619234, 13.25019, 13.077757, 13.015028, 12.424548, 11.896476, 11.8579445, 11.749563, 11.641822, 11.589001, 11.577103, 11.388788, 11.233147, 11.1868105, 11.112695, 11.051825, 11.013799, 10.911184, 10.84234, 10.627925, 10.617823, 10.532684, 10.419259, 10.385179]"
"Use the five desirable properties of process modeling tools and techniques identified by Curtis, Kellner and Over(1992) and presented in Section 2.4 of the textbook to evaluate one process modeling tool or technique. You may use an example from the book and/or consult outside sources.","[0.2076570987701416, 0.23831123113632202, 0.29748326539993286, 0.31469041109085083, 0.31745266914367676, 0.32736122608184814, 0.34485316276550293, 0.3722357749938965, 0.37684834003448486, 0.3774033784866333, 0.37786197662353516, 0.385578453540802, 0.3917568325996399, 0.39726752042770386, 0.39753538370132446, 0.39845526218414307, 0.3995952010154724, 0.40128952264785767, 0.4018852710723877, 0.4054632782936096, 0.40803366899490356, 0.40820902585983276, 0.40840423107147217, 0.41069328784942627, 0.41199791431427, 0.4124382734298706, 0.4127933979034424, 0.4164528250694275, 0.4191993474960327, 0.4229755401611328]","[0.7923429012298584, 0.761688768863678, 0.7025167346000671, 0.6853095889091492, 0.6825473308563232, 0.6726387739181519, 0.6551468372344971, 0.6277642250061035, 0.6231516599655151, 0.6225966215133667, 0.6221380233764648, 0.614421546459198, 0.6082431674003601, 0.6027324795722961, 0.6024646162986755, 0.6015447378158569, 0.6004047989845276, 0.5987104773521423, 0.5981147289276123, 0.5945367217063904, 0.5919663310050964, 0.5917909741401672, 0.5915957689285278, 0.5893067121505737, 0.58800208568573, 0.5875617265701294, 0.5872066020965576, 0.5835471749305725, 0.5808006525039673, 0.5770244598388672]","[53.204155, 36.753906, 33.392998, 26.440804, 24.557016, 24.303444, 23.911205, 23.624405, 23.490404, 23.320845, 23.275911, 22.705833, 22.648458, 22.627357, 22.427994, 22.143486, 22.071697, 21.632519, 21.390219, 21.218933, 21.218317, 21.207308, 21.072891, 20.99859, 20.84437, 20.516262, 20.467342, 20.43917, 20.365578, 20.264664]"
Explain the difference between prescriptive and descriptive process models. What is the purpose for each? When is it appropriate to use each?,"[0.41724103689193726, 0.429248571395874, 0.45005136728286743, 0.4659324288368225, 0.475114107131958, 0.47575581073760986, 0.47577571868896484, 0.4840487837791443, 0.4850207567214966, 0.48530399799346924, 0.48662179708480835, 0.49179762601852417, 0.4943106770515442, 0.49490290880203247, 0.4950774908065796, 0.497144877910614, 0.499111533164978, 0.5072110295295715, 0.5122353434562683, 0.5190833806991577, 0.5212011337280273, 0.5307865142822266, 0.5359286665916443, 0.5361798405647278, 0.5409073829650879, 0.5477070808410645, 0.5518273115158081, 0.5547934174537659, 0.5552355051040649, 0.555730938911438]","[0.5827589631080627, 0.570751428604126, 0.5499486327171326, 0.5340675711631775, 0.524885892868042, 0.5242441892623901, 0.5242242813110352, 0.5159512162208557, 0.5149792432785034, 0.5146960020065308, 0.5133782029151917, 0.5082023739814758, 0.5056893229484558, 0.5050970911979675, 0.5049225091934204, 0.502855122089386, 0.500888466835022, 0.49278897047042847, 0.4877646565437317, 0.4809166193008423, 0.47879886627197266, 0.46921348571777344, 0.4640713334083557, 0.4638201594352722, 0.4590926170349121, 0.45229291915893555, 0.4481726884841919, 0.44520658254623413, 0.44476449489593506, 0.444269061088562]","[21.655746, 18.566765, 18.336662, 17.458952, 15.951497, 15.161843, 15.07198, 14.454636, 14.447276, 14.194333, 14.167323, 14.0558605, 13.987528, 13.241228, 13.083881, 12.934443, 12.773861, 12.752896, 12.70369, 12.39753, 12.212745, 12.14974, 12.04741, 12.024816, 11.924938, 11.894852, 11.879441, 11.805595, 11.703274, 11.696443]"
"Describe the process of getting a degree (bachelor's, master's or PhD) as a work breakdow n structure. Draw an activity graph for the process. What is the critical path?","[0.4416853189468384, 0.46123504638671875, 0.48813682794570923, 0.4930115342140198, 0.5188162326812744, 0.525651752948761, 0.5394316911697388, 0.5502311587333679, 0.5507717132568359, 0.5523198843002319, 0.5572069883346558, 0.5573674440383911, 0.5573928356170654, 0.5597851276397705, 0.560957670211792, 0.5613566637039185, 0.5626470446586609, 0.5643901824951172, 0.5663939714431763, 0.5671515464782715, 0.5692237615585327, 0.5711086988449097, 0.5720546841621399, 0.5744619369506836, 0.5756333470344543, 0.5762563347816467, 0.5766893029212952, 0.5780938267707825, 0.5786387920379639, 0.5822011232376099]","[0.5583146810531616, 0.5387649536132812, 0.5118631720542908, 0.5069884657859802, 0.4811837673187256, 0.474348247051239, 0.46056830883026123, 0.4497688412666321, 0.44922828674316406, 0.44768011569976807, 0.44279301166534424, 0.4426325559616089, 0.44260716438293457, 0.4402148723602295, 0.439042329788208, 0.43864333629608154, 0.4373529553413391, 0.4356098175048828, 0.43360602855682373, 0.4328484535217285, 0.4307762384414673, 0.42889130115509033, 0.4279453158378601, 0.4255380630493164, 0.42436665296554565, 0.42374366521835327, 0.42331069707870483, 0.42190617322921753, 0.42136120796203613, 0.41779887676239014]","[32.739437, 28.533491, 26.419317, 24.986343, 23.125957, 20.996702, 20.19173, 18.893059, 18.663927, 18.013134, 17.50886, 17.015425, 16.637222, 16.54301, 16.481955, 15.70187, 15.639946, 15.4178505, 15.354596, 15.2220955, 15.014694, 14.849465, 14.782351, 14.604193, 14.401079, 14.351816, 14.214599, 14.157154, 14.072659, 13.768871]"
"Discuss two techniques for making a prediction for effort. In particular, explain where during the development process the prediction is made, and when (if at all) the prediction is repeated.","[0.38404381275177, 0.4100368022918701, 0.4170228838920593, 0.42246347665786743, 0.42921143770217896, 0.4347386956214905, 0.44283390045166016, 0.4442366361618042, 0.4476483464241028, 0.44778501987457275, 0.4483327269554138, 0.4493648409843445, 0.4517579674720764, 0.4523724317550659, 0.45721912384033203, 0.4692089557647705, 0.470018208026886, 0.47177523374557495, 0.4758497476577759, 0.4762521982192993, 0.4764660596847534, 0.4765864610671997, 0.4776719808578491, 0.47982674837112427, 0.4811379909515381, 0.4845540523529053, 0.4856308698654175, 0.4859466552734375, 0.48599159717559814, 0.4865850806236267]","[0.61595618724823, 0.5899631977081299, 0.5829771161079407, 0.5775365233421326, 0.570788562297821, 0.5652613043785095, 0.5571660995483398, 0.5557633638381958, 0.5523516535758972, 0.5522149801254272, 0.5516672730445862, 0.5506351590156555, 0.5482420325279236, 0.5476275682449341, 0.542780876159668, 0.5307910442352295, 0.529981791973114, 0.528224766254425, 0.5241502523422241, 0.5237478017807007, 0.5235339403152466, 0.5234135389328003, 0.5223280191421509, 0.5201732516288757, 0.5188620090484619, 0.5154459476470947, 0.5143691301345825, 0.5140533447265625, 0.5140084028244019, 0.5134149193763733]","[23.230497, 21.410501, 19.082317, 18.448757, 17.809212, 17.671217, 17.567703, 17.56394, 17.489891, 16.9817, 16.960192, 16.586437, 16.125357, 16.113548, 15.928742, 15.592988, 15.574593, 15.555242, 15.516447, 15.495876, 15.4210615, 15.345133, 15.344564, 15.112216, 14.829681, 14.800959, 14.747339, 14.734161, 14.638113, 14.539088]"
"Any prediction generates an estimate, E, that can be compared eventually to an actual value, A. Name two values that can be calculated from E and A to help determine the accuracy of the estimating process. Define the two values and discuss how the values for each are used to tell us that a prediction is acceptable.","[0.45936256647109985, 0.46128618717193604, 0.4761001467704773, 0.4775339365005493, 0.4936288595199585, 0.5003516674041748, 0.5004293322563171, 0.5114190578460693, 0.5159150958061218, 0.5192158222198486, 0.5224782228469849, 0.5305577516555786, 0.5359063148498535, 0.5388985872268677, 0.5425097346305847, 0.5429677963256836, 0.5435405969619751, 0.5533761382102966, 0.5538745522499084, 0.5540910959243774, 0.5556968450546265, 0.5557916164398193, 0.5585556626319885, 0.559393584728241, 0.5631227493286133, 0.566203236579895, 0.5680980086326599, 0.5759537220001221, 0.5782718658447266, 0.5896402597427368]","[0.5406374335289001, 0.538713812828064, 0.5238998532295227, 0.5224660634994507, 0.5063711404800415, 0.4996483325958252, 0.49957066774368286, 0.48858094215393066, 0.4840849041938782, 0.48078417778015137, 0.47752177715301514, 0.4694422483444214, 0.4640936851501465, 0.4611014127731323, 0.4574902653694153, 0.4570322036743164, 0.4564594030380249, 0.44662386178970337, 0.44612544775009155, 0.44590890407562256, 0.44430315494537354, 0.44420838356018066, 0.4414443373680115, 0.44060641527175903, 0.4368772506713867, 0.433796763420105, 0.4319019913673401, 0.42404627799987793, 0.42172813415527344, 0.4103597402572632]","[31.873178, 30.379253, 27.90304, 27.431988, 26.54363, 25.265596, 25.099926, 23.114193, 23.000101, 22.894413, 22.573393, 22.383228, 22.056875, 21.960037, 21.433695, 21.373402, 21.105082, 21.053648, 20.9642, 20.819014, 20.643963, 20.526375, 20.520807, 20.459732, 20.420666, 20.068764, 20.013378, 19.954218, 19.769537, 19.622925]"
Describe two different size measures and the advantages and disadvantages of using each.,"[0.5307345390319824, 0.5854646563529968, 0.6018994450569153, 0.6066029071807861, 0.6140313148498535, 0.6143839359283447, 0.6176975965499878, 0.619043231010437, 0.6199716329574585, 0.6267865896224976, 0.6278324127197266, 0.6300586462020874, 0.6337310075759888, 0.634249746799469, 0.6345648169517517, 0.6363103985786438, 0.6376755237579346, 0.6390074491500854, 0.6402055025100708, 0.6407282948493958, 0.6426925659179688, 0.6428021192550659, 0.6465060710906982, 0.6497542262077332, 0.6516278386116028, 0.6518732309341431, 0.6525425910949707, 0.6531110405921936, 0.653598427772522, 0.6543420553207397]","[0.4692654609680176, 0.4145353436470032, 0.3981005549430847, 0.39339709281921387, 0.3859686851501465, 0.3856160640716553, 0.3823024034500122, 0.380956768989563, 0.3800283670425415, 0.37321341037750244, 0.37216758728027344, 0.3699413537979126, 0.36626899242401123, 0.365750253200531, 0.3654351830482483, 0.3636896014213562, 0.36232447624206543, 0.36099255084991455, 0.3597944974899292, 0.35927170515060425, 0.35730743408203125, 0.3571978807449341, 0.35349392890930176, 0.35024577379226685, 0.3483721613883972, 0.34812676906585693, 0.3474574089050293, 0.3468889594078064, 0.346401572227478, 0.34565794467926025]","[15.490739, 15.489319, 14.231237, 13.2917595, 12.506109, 12.053875, 11.924311, 11.608772, 11.469556, 11.129442, 10.467606, 10.2531185, 10.152367, 9.830449, 9.68362, 9.640224, 9.373682, 9.289673, 9.123312, 8.944971, 8.916938, 8.887303, 8.84314, 8.803553, 8.796785, 8.785202, 8.661397, 8.627548, 8.527061, 8.450401]"
"Most of a system's requirements specify that the system should do what it is intended to do. Is it also appropri ate to specify that the system should not do what it is not intended to do? If your answer is no, explain why; if your answer is yes, give an example.","[0.5356473922729492, 0.5432754755020142, 0.5463958978652954, 0.5512125492095947, 0.5583422183990479, 0.5608580708503723, 0.5623913407325745, 0.5624049305915833, 0.5638449192047119, 0.5646762847900391, 0.565133810043335, 0.565265953540802, 0.5655105113983154, 0.565998911857605, 0.5669875741004944, 0.5671142339706421, 0.569137692451477, 0.5692011117935181, 0.5698131322860718, 0.5728565454483032, 0.575013279914856, 0.5769524574279785, 0.5770019292831421, 0.5806787610054016, 0.5812191367149353, 0.5829273462295532, 0.586035966873169, 0.5875051021575928, 0.5895739197731018, 0.5900518894195557]","[0.4643526077270508, 0.45672452449798584, 0.4536041021347046, 0.4487874507904053, 0.44165778160095215, 0.4391419291496277, 0.43760865926742554, 0.43759506940841675, 0.4361550807952881, 0.43532371520996094, 0.43486618995666504, 0.434734046459198, 0.43448948860168457, 0.434001088142395, 0.4330124258995056, 0.4328857660293579, 0.43086230754852295, 0.43079888820648193, 0.4301868677139282, 0.4271434545516968, 0.42498672008514404, 0.4230475425720215, 0.4229980707168579, 0.4193212389945984, 0.4187808632850647, 0.4170726537704468, 0.41396403312683105, 0.4124948978424072, 0.4104260802268982, 0.40994811058044434]","[29.962814, 28.22078, 27.663546, 24.85419, 24.432486, 24.031849, 23.213045, 22.909058, 22.562702, 22.502394, 22.43408, 22.17749, 21.70801, 21.119215, 20.776655, 20.68842, 20.447052, 20.206432, 20.07145, 20.018501, 19.83671, 19.65455, 19.647827, 19.626225, 19.624878, 19.504347, 19.411526, 19.376083, 19.175026, 19.085133]"
"Describe the different consumers of software requirements i.e. the different users, or types of users, o f a software requirements document). For each consumer, explain how he or she would use the requirements, and how the requirements should be documented to make them useful for this consumer.","[0.34833240509033203, 0.41632479429244995, 0.4197424054145813, 0.42324453592300415, 0.42514556646347046, 0.4258880615234375, 0.4292018413543701, 0.4331570863723755, 0.4379499554634094, 0.4383525848388672, 0.4388273358345032, 0.4429738521575928, 0.44423907995224, 0.44628405570983887, 0.44821345806121826, 0.4570210576057434, 0.4618184566497803, 0.47580522298812866, 0.4784739017486572, 0.4805465340614319, 0.4810677170753479, 0.4835352301597595, 0.484117329120636, 0.48508667945861816, 0.4882547855377197, 0.4921811819076538, 0.4974660873413086, 0.4993806481361389, 0.5005702972412109, 0.5023766160011292]","[0.651667594909668, 0.58367520570755, 0.5802575945854187, 0.5767554640769958, 0.5748544335365295, 0.5741119384765625, 0.5707981586456299, 0.5668429136276245, 0.5620500445365906, 0.5616474151611328, 0.5611726641654968, 0.5570261478424072, 0.55576092004776, 0.5537159442901611, 0.5517865419387817, 0.5429789423942566, 0.5381815433502197, 0.5241947770118713, 0.5215260982513428, 0.5194534659385681, 0.5189322829246521, 0.5164647698402405, 0.515882670879364, 0.5149133205413818, 0.5117452144622803, 0.5078188180923462, 0.5025339126586914, 0.5006193518638611, 0.49942970275878906, 0.49762338399887085]","[27.210232, 25.669836, 25.129938, 24.97006, 24.851646, 24.24416, 23.447115, 22.978153, 22.953325, 22.760004, 22.506777, 22.496124, 22.490685, 22.338074, 22.032324, 21.964514, 21.86857, 21.864641, 21.576916, 21.089334, 20.964588, 20.898731, 20.553022, 20.428284, 20.254112, 20.189856, 20.152296, 20.063843, 19.680805, 19.604427]"
